,CustomerID,Churn,Tenure,PreferredLoginDevice,CityTier,WarehouseToHome,MaritalStatus,AgeGroup,Gender,HourSpendOnApp,OrderCount,OrderAmountHikeFromlastYear,DaySinceLastOrder,PreferedOrderCat,NumberOfStreamerFollowed,SatisfactionScore,Complain,CouponUsed,DiscountAmount
67,50068,1,3.0,Mobile Phone,1,29.0,Divorced,4,Male,2.0,1.0,13.0,1.0,Laptop & Accessory,4,3,1,1.0,159
70,50071,0,13.0,PC,1,27.0,Divorced,2,Male,3.0,1.0,12.0,7.0,Mobile Phone,2,5,1,0.0,136
71,50072,0,8.0,Pad,1,8.0,Single,3,Female,2.0,1.0,11.0,2.0,Laptop & Accessory,6,4,0,1.0,144
72,50073,0,15.0,Pad,1,27.0,Married,3,Female,2.0,1.0,16.0,2.0,Laptop & Accessory,3,3,0,0.0,153
73,50074,0,11.0,Mobile Phone,1,8.0,Divorced,3,Male,2.0,1.0,14.0,0.0,Laptop & Accessory,10,3,0,0.0,166
74,50075,0,11.0,Mobile Phone,1,35.0,Divorced,3,Male,2.0,1.0,18.0,7.0,Laptop & Accessory,4,2,0,0.0,163
75,50076,0,3.0,Pad,1,6.0,Divorced,4,Male,2.0,2.0,19.0,0.0,Laptop & Accessory,6,5,0,0.0,143
76,50077,0,22.0,Pad,1,24.0,Married,3,Male,3.0,1.0,15.0,7.0,Laptop & Accessory,2,2,1,0.0,168
77,50078,0,7.0,Pad,1,16.0,Married,3,Male,2.0,2.0,17.0,0.0,Mobile Phone,2,3,1,2.0,138
79,50080,1,1.0,Mobile Phone,1,35.0,Divorced,3,Male,3.0,1.0,19.0,0.0,Laptop & Accessory,8,5,1,0.0,167
80,50081,1,3.0,Mobile Phone,3,33.0,Divorced,3,Female,2.0,1.0,22.0,9.0,Fashion,2,2,0,1.0,176
83,50084,0,13.0,Pad,1,15.0,Divorced,4,Male,3.0,1.0,14.0,2.0,Laptop & Accessory,10,2,0,1.0,149
84,50085,0,19.0,Mobile Phone,1,6.0,Married,3,Male,3.0,1.0,16.0,3.0,Fashion,8,5,0,0.0,194
85,50086,1,3.0,Mobile Phone,3,10.0,Divorced,5,Male,2.0,9.0,11.0,8.0,Fashion,2,2,0,7.0,204
86,50087,0,3.0,Pad,1,6.0,Single,4,Male,2.0,5.0,22.0,8.0,Fashion,2,3,0,2.0,185
87,50088,0,3.0,Pad,3,26.0,Single,3,Female,2.0,1.0,14.0,7.0,Laptop & Accessory,2,3,0,1.0,200
91,50092,1,3.0,Pad,3,32.0,Single,4,Female,2.0,1.0,15.0,1.0,Laptop & Accessory,6,5,0,0.0,167
93,50094,0,18.0,Pad,3,12.0,Single,4,Female,2.0,12.0,12.0,8.0,Fashion,7,2,0,12.0,189
94,50095,0,27.0,Mobile Phone,3,9.0,Divorced,3,Female,2.0,1.0,14.0,5.0,Laptop & Accessory,3,5,0,1.0,159
95,50096,0,9.0,Mobile Phone,1,11.0,Single,3,Male,3.0,3.0,16.0,7.0,Laptop & Accessory,9,4,0,0.0,159
98,50099,0,11.0,Mobile Phone,3,9.0,Married,3,Male,3.0,5.0,12.0,13.0,Fashion,1,3,0,1.0,206
99,50100,0,4.0,Pad,1,6.0,Divorced,5,Male,2.0,1.0,12.0,4.0,Laptop & Accessory,1,3,0,1.0,143
101,50102,0,13.0,Pad,3,10.0,Married,3,Male,2.0,5.0,17.0,8.0,Mobile Phone,5,2,0,1.0,0
102,50103,0,2.0,Pad,3,6.0,Divorced,3,Female,2.0,4.0,14.0,1.0,Fashion,2,2,0,4.0,179
103,50104,0,8.0,Pad,3,6.0,Single,3,Female,3.0,1.0,14.0,8.0,Fashion,2,3,0,1.0,188
105,50106,0,25.0,PC,1,8.0,Single,4,Female,2.0,2.0,15.0,2.0,Household,8,2,0,0.0,132
113,50114,0,5.0,PC,3,10.0,Divorced,3,Female,2.0,1.0,11.0,2.0,Mobile Phone,3,4,0,1.0,139
114,50115,1,3.0,PC,1,6.0,Single,4,Male,3.0,1.0,14.0,2.0,Mobile Phone,1,3,1,1.0,137
116,50117,0,5.0,Pad,3,32.0,Divorced,3,Male,3.0,2.0,18.0,2.0,Laptop & Accessory,1,2,0,1.0,145
118,50119,0,13.0,PC,1,30.0,Married,3,Male,3.0,4.0,17.0,7.0,Laptop & Accessory,2,2,0,2.0,133
122,50123,0,7.0,Mobile Phone,1,8.0,Divorced,4,Male,2.0,5.0,13.0,9.0,Laptop & Accessory,7,5,0,0.0,160
123,50124,0,13.0,PC,1,6.0,Divorced,4,Female,2.0,1.0,14.0,2.0,Mobile Phone,3,5,0,1.0,139
124,50125,0,18.0,Pad,1,13.0,Divorced,2,Male,3.0,1.0,17.0,2.0,Laptop & Accessory,5,3,0,0.0,164
125,50126,1,3.0,Pad,1,16.0,Married,3,Male,3.0,1.0,11.0,0.0,Fashion,7,3,0,1.0,200
128,50129,0,15.0,Mobile Phone,1,23.0,Single,2,Female,2.0,1.0,13.0,2.0,Laptop & Accessory,4,5,1,0.0,165
129,50130,0,2.0,Mobile Phone,3,26.0,Married,3,Male,2.0,1.0,14.0,2.0,Laptop & Accessory,3,2,0,1.0,169
130,50131,0,3.0,PC,1,6.0,Divorced,3,Female,3.0,1.0,12.0,2.0,Laptop & Accessory,1,3,0,1.0,149
134,50135,1,3.0,Pad,1,35.0,Single,4,Male,3.0,1.0,11.0,4.0,Household,1,4,0,1.0,135
136,50137,0,11.0,Pad,3,8.0,Divorced,4,Male,2.0,7.0,18.0,5.0,Laptop & Accessory,4,2,0,6.0,152
139,50140,1,3.0,PC,1,8.0,Single,3,Male,3.0,1.0,11.0,0.0,Household,3,3,0,1.0,135
140,50141,0,2.0,Mobile Phone,3,8.0,Divorced,4,Male,3.0,1.0,19.0,0.0,Laptop & Accessory,3,4,0,0.0,166
141,50142,0,4.0,Mobile Phone,1,29.0,Divorced,4,Male,3.0,7.0,21.0,8.0,Laptop & Accessory,1,2,0,1.0,156
142,50143,0,3.0,Pad,1,11.0,Married,2,Male,2.0,1.0,12.0,5.0,Laptop & Accessory,2,5,0,1.0,140
144,50145,0,9.0,PC,1,12.0,Divorced,3,Male,2.0,10.0,11.0,11.0,Household,1,2,0,4.0,132
148,50149,0,13.0,Mobile Phone,3,12.0,Divorced,3,Male,3.0,1.0,14.0,1.0,Laptop & Accessory,5,2,0,0.0,165
149,50150,0,3.0,PC,1,9.0,Single,4,Male,3.0,1.0,17.0,0.0,Household,2,3,0,1.0,132
152,50153,0,11.0,Mobile Phone,3,13.0,Married,2,Female,2.0,7.0,24.0,7.0,Laptop & Accessory,2,5,1,0.0,156
153,50154,0,3.0,Pad,1,6.0,Married,3,Female,2.0,1.0,20.0,4.0,Laptop & Accessory,2,4,0,0.0,164
156,50157,0,15.0,PC,3,6.0,Divorced,3,Male,2.0,11.0,25.0,6.0,Laptop & Accessory,2,3,0,4.0,149
157,50158,0,2.0,Pad,3,8.0,Single,3,Male,2.0,1.0,18.0,9.0,Laptop & Accessory,2,2,0,0.0,146
158,50159,0,28.0,Mobile Phone,1,26.0,Divorced,3,Male,2.0,1.0,19.0,8.0,Laptop & Accessory,4,2,1,1.0,154
159,50160,0,3.0,Pad,1,17.0,Divorced,3,Male,2.0,3.0,13.0,3.0,Laptop & Accessory,2,5,1,2.0,147
162,50163,0,11.0,Mobile Phone,1,29.0,Married,3,Male,2.0,1.0,14.0,2.0,Laptop & Accessory,10,2,0,0.0,157
164,50165,0,1.0,PC,1,14.0,Single,3,Female,3.0,1.0,21.0,2.0,Household,2,2,0,0.0,133
166,50167,0,9.0,PC,1,9.0,Single,3,Male,1.0,7.0,12.0,7.0,Laptop & Accessory,5,4,0,6.0,145
168,50169,1,3.0,Mobile Phone,3,10.0,Single,4,Male,2.0,7.0,12.0,4.0,Laptop & Accessory,2,2,1,7.0,158
172,50173,0,8.0,Mobile Phone,3,22.0,Divorced,3,Male,3.0,6.0,15.0,9.0,Fashion,1,4,0,3.0,180
173,50174,0,9.0,Pad,1,24.0,Divorced,2,Male,2.0,1.0,18.0,0.0,Mobile Phone,5,2,0,0.0,137
174,50175,0,24.0,Mobile Phone,1,8.0,Married,5,Male,2.0,1.0,18.0,2.0,Laptop & Accessory,6,4,0,0.0,155
176,50177,0,3.0,Mobile Phone,3,16.0,Single,4,Female,3.0,1.0,12.0,0.0,Mobile Phone,2,3,0,1.0,112
177,50178,0,1.0,Mobile Phone,1,22.0,Single,2,Male,3.0,1.0,19.0,7.0,Laptop & Accessory,1,5,0,0.0,157
178,50179,0,4.0,Mobile Phone,3,13.0,Divorced,2,Male,3.0,7.0,11.0,7.0,Laptop & Accessory,5,2,0,3.0,169
179,50180,0,12.0,Mobile Phone,1,6.0,Married,2,Male,2.0,3.0,17.0,7.0,Fashion,1,2,0,3.0,196
180,50181,0,9.0,Pad,1,30.0,Divorced,3,Female,2.0,1.0,15.0,8.0,Laptop & Accessory,8,4,0,0.0,157
181,50182,0,5.0,Mobile Phone,3,13.0,Divorced,4,Male,3.0,4.0,14.0,8.0,Laptop & Accessory,2,3,0,1.0,155
183,50184,0,33.0,Pad,1,6.0,Married,5,Male,2.0,1.0,13.0,2.0,Laptop & Accessory,3,3,1,1.0,157
184,50185,0,4.0,PC,1,11.0,Divorced,3,Male,2.0,1.0,12.0,3.0,Mobile Phone,1,2,1,0.0,148
185,50186,0,4.0,Mobile Phone,2,8.0,Divorced,4,Male,3.0,1.0,12.0,0.0,Laptop & Accessory,4,5,0,0.0,164
186,50187,0,18.0,Pad,1,13.0,Married,3,Male,3.0,9.0,18.0,11.0,Fashion,2,5,0,5.0,152
192,50193,1,15.0,PC,1,14.0,Divorced,4,Male,2.0,7.0,15.0,7.0,Laptop & Accessory,3,4,0,7.0,149
194,50195,0,5.0,Mobile Phone,3,14.0,Divorced,4,Female,3.0,11.0,11.0,9.0,Laptop & Accessory,2,4,1,6.0,152
195,50196,0,3.0,PC,3,8.0,Single,3,Male,3.0,1.0,11.0,4.0,Laptop & Accessory,2,3,1,1.0,145
196,50197,0,4.0,Mobile Phone,3,13.0,Married,3,Male,3.0,1.0,12.0,7.0,Laptop & Accessory,5,2,0,0.0,175
197,50198,0,5.0,Mobile Phone,1,8.0,Single,2,Female,3.0,1.0,16.0,7.0,Laptop & Accessory,8,2,0,1.0,151
198,50199,1,3.0,PC,1,8.0,Divorced,5,Male,2.0,2.0,13.0,2.0,Household,6,2,1,2.0,135
199,50200,0,3.0,Mobile Phone,1,34.0,Divorced,3,Female,3.0,1.0,13.0,9.0,Laptop & Accessory,2,2,0,0.0,158
200,50201,0,4.0,Pad,1,13.0,Divorced,4,Female,2.0,8.0,24.0,9.0,Fashion,2,3,0,3.0,189
202,50203,1,2.0,Mobile Phone,3,9.0,Divorced,3,Female,2.0,1.0,18.0,0.0,Laptop & Accessory,5,3,1,1.0,152
203,50204,0,6.0,Pad,3,16.0,Single,4,Male,2.0,1.0,14.0,1.0,Laptop & Accessory,4,2,0,1.0,147
205,50206,0,16.0,Pad,1,16.0,Married,4,Female,2.0,1.0,11.0,0.0,Laptop & Accessory,2,3,0,0.0,153
206,50207,0,3.0,Pad,3,6.0,Divorced,3,Male,3.0,1.0,13.0,4.0,Laptop & Accessory,1,4,1,0.0,163
207,50208,0,27.0,Pad,1,26.0,Single,3,Female,2.0,1.0,12.0,3.0,Laptop & Accessory,4,3,0,1.0,149
208,50209,0,16.0,Mobile Phone,1,13.0,Divorced,3,Female,2.0,1.0,16.0,0.0,Fashion,9,5,0,1.0,200
209,50210,0,18.0,PC,1,14.0,Divorced,3,Male,3.0,9.0,14.0,8.0,Laptop & Accessory,10,2,0,7.0,137
210,50211,0,13.0,Mobile Phone,3,6.0,Divorced,5,Male,2.0,1.0,22.0,2.0,Laptop & Accessory,3,2,1,1.0,175
212,50213,0,2.0,PC,1,15.0,Single,4,Male,1.0,2.0,17.0,2.0,Mobile Phone,1,2,0,2.0,140
213,50214,0,3.0,Mobile Phone,3,11.0,Married,4,Female,1.0,1.0,13.0,2.0,Laptop & Accessory,2,3,0,0.0,161
214,50215,0,3.0,Mobile Phone,3,14.0,Divorced,3,Female,2.0,1.0,18.0,7.0,Laptop & Accessory,2,4,0,0.0,162
215,50216,0,13.0,Mobile Phone,1,11.0,Married,3,Male,3.0,1.0,16.0,4.0,Laptop & Accessory,8,2,0,0.0,163
217,50218,0,4.0,Mobile Phone,1,13.0,Single,3,Female,2.0,4.0,14.0,10.0,Fashion,2,2,1,2.0,171
218,50219,0,2.0,Mobile Phone,3,16.0,Married,4,Female,2.0,1.0,14.0,7.0,Laptop & Accessory,2,4,1,0.0,183
219,50220,0,8.0,Mobile Phone,1,11.0,Single,3,Male,3.0,1.0,13.0,13.0,Fashion,1,4,0,0.0,181
221,50222,0,14.0,Mobile Phone,1,12.0,Single,4,Male,3.0,1.0,15.0,2.0,Laptop & Accessory,7,4,1,1.0,160
224,50225,0,2.0,Pad,3,8.0,Divorced,3,Male,3.0,1.0,14.0,2.0,Laptop & Accessory,2,3,0,1.0,146
228,50229,0,13.0,Mobile Phone,1,12.0,Married,2,Male,2.0,6.0,13.0,7.0,Laptop & Accessory,5,5,1,2.0,160
229,50230,0,3.0,Pad,3,31.0,Divorced,3,Female,2.0,2.0,12.0,2.0,Laptop & Accessory,8,3,1,1.0,147
230,50231,0,3.0,Mobile Phone,3,6.0,Divorced,3,Male,2.0,7.0,17.0,7.0,Laptop & Accessory,2,3,0,2.0,153
231,50232,0,15.0,Mobile Phone,1,8.0,Single,4,Male,3.0,1.0,23.0,0.0,Laptop & Accessory,4,2,0,0.0,168
233,50234,0,9.0,Pad,3,6.0,Single,3,Female,2.0,1.0,15.0,0.0,Laptop & Accessory,5,2,0,1.0,167
234,50235,0,9.0,Pad,3,9.0,Divorced,4,Male,2.0,1.0,11.0,12.0,Fashion,5,2,0,0.0,197
235,50236,0,33.0,Mobile Phone,1,6.0,Divorced,3,Male,2.0,1.0,11.0,2.0,Laptop & Accessory,3,3,0,1.0,168
239,50240,0,13.0,PC,1,16.0,Divorced,3,Female,3.0,1.0,20.0,3.0,Household,7,5,0,1.0,135
240,50241,0,19.0,Pad,1,13.0,Divorced,3,Female,1.0,1.0,14.0,0.0,Laptop & Accessory,3,3,0,0.0,153
241,50242,1,4.0,Pad,3,10.0,Single,3,Male,2.0,7.0,18.0,7.0,Laptop & Accessory,2,4,0,7.0,194
242,50243,0,23.0,Mobile Phone,1,16.0,Single,4,Male,3.0,1.0,15.0,3.0,Fashion,7,2,0,0.0,205
243,50244,1,3.0,Mobile Phone,3,28.0,Divorced,4,Male,3.0,1.0,12.0,0.0,Laptop & Accessory,3,3,1,1.0,164
247,50248,0,8.0,Mobile Phone,1,15.0,Single,4,Male,3.0,1.0,19.0,0.0,Laptop & Accessory,10,4,0,1.0,165
248,50249,0,3.0,PC,1,6.0,Married,3,Male,2.0,1.0,11.0,4.0,Mobile Phone,2,4,0,0.0,138
249,50250,0,1.0,Mobile Phone,3,15.0,Single,3,Male,3.0,1.0,16.0,7.0,Laptop & Accessory,2,2,0,1.0,153
250,50251,0,22.0,PC,1,13.0,Single,4,Male,2.0,1.0,24.0,0.0,Fashion,9,3,0,1.0,145
251,50252,0,24.0,PC,3,20.0,Divorced,3,Female,2.0,1.0,11.0,7.0,Laptop & Accessory,5,2,0,0.0,149
253,50254,1,3.0,Pad,3,25.0,Single,2,Male,3.0,1.0,13.0,4.0,Laptop & Accessory,9,2,1,1.0,153
255,50256,0,3.0,PC,3,16.0,Married,3,Female,3.0,1.0,12.0,3.0,Laptop & Accessory,2,3,1,0.0,143
259,50260,0,9.0,Mobile Phone,3,8.0,Divorced,4,Male,3.0,9.0,13.0,0.0,Fashion,2,3,0,9.0,176
262,50263,0,13.0,Mobile Phone,3,8.0,Married,3,Female,2.0,1.0,12.0,3.0,Laptop & Accessory,8,4,0,0.0,157
264,50265,0,13.0,PC,1,16.0,Single,3,Male,2.0,1.0,12.0,1.0,Laptop & Accessory,3,4,1,0.0,142
266,50267,0,13.0,PC,1,8.0,Divorced,4,Female,3.0,1.0,22.0,0.0,Laptop & Accessory,7,3,0,1.0,134
268,50269,0,7.0,Pad,3,10.0,Divorced,3,Female,3.0,1.0,15.0,2.0,Laptop & Accessory,10,3,0,1.0,165
269,50270,0,4.0,PC,1,13.0,Divorced,3,Female,2.0,3.0,12.0,12.0,Laptop & Accessory,2,5,0,3.0,143
271,50272,0,16.0,PC,1,14.0,Married,3,Female,3.0,1.0,14.0,2.0,Laptop & Accessory,5,3,1,0.0,145
272,50273,0,3.0,PC,3,10.0,Single,4,Female,2.0,1.0,11.0,3.0,Laptop & Accessory,2,2,1,0.0,145
273,50274,0,13.0,Pad,1,31.0,Divorced,3,Female,3.0,10.0,15.0,7.0,Laptop & Accessory,4,3,1,3.0,144
275,50276,0,12.0,Pad,1,6.0,Married,3,Male,2.0,1.0,14.0,6.0,Others,2,3,1,0.0,292
277,50278,0,3.0,Mobile Phone,3,18.0,Single,3,Female,2.0,4.0,11.0,4.0,Laptop & Accessory,1,3,0,3.0,166
278,50279,0,14.0,Mobile Phone,3,6.0,Divorced,2,Male,2.0,1.0,16.0,7.0,Fashion,2,5,0,1.0,184
279,50280,0,1.0,PC,1,23.0,Married,3,Male,3.0,1.0,12.0,8.0,Laptop & Accessory,2,5,0,0.0,146
280,50281,1,3.0,PC,1,9.0,Divorced,3,Male,3.0,1.0,13.0,2.0,Mobile Phone,6,5,0,1.0,140
281,50282,0,25.0,Mobile Phone,1,9.0,Divorced,4,Male,2.0,1.0,14.0,4.0,Fashion,3,3,1,0.0,180
284,50285,0,15.0,Pad,1,35.0,Married,3,Female,3.0,1.0,11.0,2.0,Laptop & Accessory,3,3,0,1.0,146
285,50286,0,3.0,Mobile Phone,1,8.0,Single,5,Female,2.0,1.0,20.0,2.0,Laptop & Accessory,3,2,0,0.0,161
287,50288,0,19.0,PC,1,24.0,Married,3,Female,2.0,1.0,14.0,8.0,Laptop & Accessory,3,3,0,0.0,148
288,50289,0,15.0,Pad,1,34.0,Divorced,4,Female,2.0,1.0,11.0,4.0,Laptop & Accessory,1,2,0,0.0,145
289,50290,1,3.0,PC,3,6.0,Single,3,Female,3.0,1.0,16.0,4.0,Household,2,4,1,1.0,132
298,50299,0,3.0,Pad,3,28.0,Divorced,3,Female,3.0,7.0,11.0,8.0,Fashion,1,5,0,2.0,184
302,50303,0,33.0,Pad,3,34.0,Divorced,4,Female,3.0,13.0,19.0,11.0,Fashion,5,5,0,13.0,203
303,50304,0,23.0,Mobile Phone,1,8.0,Married,3,Female,3.0,1.0,13.0,4.0,Laptop & Accessory,6,2,0,0.0,151
305,50306,0,8.0,PC,1,28.0,Single,5,Male,2.0,4.0,15.0,3.0,Mobile Phone,1,3,0,2.0,142
306,50307,0,27.0,PC,1,14.0,Single,3,Female,2.0,1.0,11.0,0.0,Laptop & Accessory,8,3,0,1.0,138
308,50309,0,19.0,Mobile Phone,3,16.0,Divorced,4,Female,3.0,1.0,19.0,2.0,Fashion,3,2,1,1.0,191
309,50310,0,4.0,Mobile Phone,1,15.0,Married,3,Male,2.0,1.0,25.0,8.0,Fashion,2,4,0,1.0,206
311,50312,1,3.0,PC,1,16.0,Married,5,Male,2.0,1.0,13.0,3.0,Household,8,2,0,0.0,134
313,50314,0,8.0,Mobile Phone,1,22.0,Divorced,3,Male,3.0,1.0,12.0,0.0,Fashion,5,3,1,0.0,176
314,50315,1,3.0,Pad,1,26.0,Divorced,3,Male,3.0,1.0,12.0,0.0,Fashion,4,3,0,1.0,198
315,50316,1,3.0,Pad,2,29.0,Married,3,Female,2.0,1.0,15.0,2.0,Fashion,10,5,1,1.0,200
317,50318,0,9.0,Pad,3,16.0,Single,3,Male,2.0,9.0,14.0,7.0,Fashion,2,2,0,1.0,200
318,50319,1,3.0,Pad,1,10.0,Single,4,Male,2.0,1.0,16.0,2.0,Mobile Phone,6,3,0,1.0,139
319,50320,0,21.0,PC,3,8.0,Divorced,3,Female,2.0,6.0,14.0,7.0,Laptop & Accessory,3,2,0,4.0,141
321,50322,0,14.0,Pad,3,16.0,Single,3,Male,2.0,1.0,14.0,10.0,Laptop & Accessory,8,2,0,0.0,162
322,50323,0,8.0,PC,3,6.0,Divorced,3,Male,2.0,6.0,11.0,9.0,Laptop & Accessory,10,3,0,3.0,147
324,50325,0,12.0,Pad,1,14.0,Divorced,3,Female,2.0,1.0,11.0,7.0,Mobile Phone,2,3,0,0.0,138
325,50326,0,4.0,Mobile Phone,3,8.0,Single,3,Male,3.0,1.0,13.0,5.0,Laptop & Accessory,5,2,1,1.0,166
326,50327,0,15.0,Mobile Phone,1,30.0,Divorced,3,Male,2.0,5.0,21.0,8.0,Fashion,2,5,1,4.0,174
327,50328,0,18.0,PC,3,8.0,Divorced,3,Male,3.0,3.0,19.0,7.0,Laptop & Accessory,1,4,0,3.0,148
329,50330,0,2.0,PC,1,25.0,Married,3,Male,2.0,1.0,12.0,2.0,Laptop & Accessory,5,2,0,0.0,143
334,50335,0,14.0,Pad,1,8.0,Single,4,Female,3.0,1.0,17.0,7.0,Laptop & Accessory,3,3,1,0.0,168
335,50336,0,3.0,PC,3,35.0,Married,3,Male,2.0,1.0,12.0,0.0,Laptop & Accessory,6,3,0,1.0,143
336,50337,0,8.0,PC,3,6.0,Single,3,Female,3.0,1.0,16.0,3.0,Laptop & Accessory,2,3,0,0.0,149
337,50338,0,7.0,Mobile Phone,3,27.0,Single,2,Male,3.0,5.0,12.0,7.0,Laptop & Accessory,2,2,0,5.0,153
339,50340,0,13.0,Mobile Phone,1,6.0,Single,3,Female,2.0,1.0,17.0,2.0,Fashion,5,2,0,1.0,175
340,50341,0,19.0,Pad,1,24.0,Divorced,3,Female,2.0,1.0,11.0,2.0,Fashion,6,3,0,1.0,205
342,50343,0,13.0,Pad,3,15.0,Married,3,Male,3.0,7.0,13.0,7.0,Fashion,2,4,0,6.0,188
343,50344,0,25.0,Mobile Phone,1,12.0,Married,3,Male,3.0,6.0,12.0,9.0,Laptop & Accessory,4,5,1,2.0,156
344,50345,1,3.0,Pad,3,17.0,Divorced,2,Male,2.0,1.0,12.0,2.0,Laptop & Accessory,9,3,0,1.0,147
346,50347,0,11.0,Mobile Phone,1,16.0,Divorced,3,Female,3.0,1.0,19.0,0.0,Laptop & Accessory,4,3,0,1.0,198
347,50348,0,13.0,Mobile Phone,1,6.0,Divorced,3,Female,3.0,4.0,12.0,3.0,Laptop & Accessory,7,4,0,3.0,164
350,50351,0,3.0,Mobile Phone,3,34.0,Divorced,3,Male,3.0,1.0,20.0,4.0,Laptop & Accessory,2,4,0,1.0,163
356,50357,0,7.0,PC,1,6.0,Divorced,4,Male,2.0,1.0,13.0,3.0,Mobile Phone,2,2,1,0.0,136
357,50358,1,3.0,PC,3,19.0,Married,3,Male,2.0,1.0,17.0,2.0,Laptop & Accessory,3,5,0,0.0,142
358,50359,0,8.0,PC,1,31.0,Single,4,Male,2.0,1.0,14.0,2.0,Laptop & Accessory,5,2,0,0.0,137
359,50360,0,4.0,Mobile Phone,3,12.0,Married,2,Male,3.0,5.0,22.0,7.0,Laptop & Accessory,5,2,0,3.0,155
